-49,-54,-5,52,-22,-29,,,,,,
-50,-56,-6,53,-22,-31,,,,,,
-50,-56,-6,53,-22,-31,,,,,,
-46,-51,-5,49,-20,-28,,,,,,
-46,-50,-4,48,-21,-27,,,,,,
-47,-51,-4,49,-21,-27,,,,,,
-50,-53,-3,52,-23,-28,,,,,,
-51,-53,-2,52,-24,-27,,,,,,
-49,-50,-1,50,-24,-25,,,,,,
-50,-51,-1,51,-24,-26,,,,,,
-54,-54,0,54,-27,-27,,,,,,
-54,-56,-2,55,-26,-29,,,,,,
-56,-57,-1,57,-27,-29,,,,,,
-57,-57,0,57,-28,-28,,,,,,
-50,-48,2,49,-26,-23,,,,,,
-49,-46,3,47,-26,-21,,,,,,
-57,-53,4,55,-30,-24,,,,,,
-60,-54,6,57,-33,-24,,,,,,
-61,-53,8,57,-34,-22,,,,,,
-55,-45,10,50,-32,-17,,,,,,
-49,-38,11,43,-30,-13,,,,,,
-43,-30,13,36,-28,-8,,,,,,
-48,-34,14,41,-31,-10,,,,,,
-49,-33,16,41,-32,-8,,,,,,
-45,-26,19,35,-32,-3,,,,,,
-44,-24,20,34,-32,-2,,,,,,
-40,-21,19,30,-29,-1,,,,,,
-36,-18,18,27,-27,0,,,,,,
-29,-14,15,21,-22,0,,,,,,
-21,-10,11,15,-16,0,,,,,,
-11,-11,0,11,-5,-5,,,,,,
-3,-11,-8,7,3,-9,,,,,,
5,-9,-14,2,10,-11,,,,,,
14,-6,-20,-4,17,-13,,,,,,
25,-1,-26,-12,26,-13,,,,,,
45,7,-38,-26,41,-15,,,,,,
57,9,-48,-33,52,-19,,,,,,
62,6,-56,-34,59,-25,,,,,,
75,13,-62,-44,68,-24,,,,,,
88,18,-70,-53,79,-26,,,,,,
101,21,-80,-61,90,-29,,,,,,
117,21,-96,-69,106,-37,,,,,,
129,18,-111,-73,120,-46,,,,,,
133,15,-118,-74,125,-51,,,,,,
134,13,-121,-73,127,-54,,,,,,
133,13,-120,-73,126,-53,,,,,,
135,19,-116,-77,125,-48,,,,,,
134,24,-110,-79,122,-43,,,,,,
128,26,-102,-77,115,-38,,,,,,
110,25,-85,-67,97,-30,,,,,,
90,24,-66,-57,78,-21,,,,,,
